Player,Team,Runs,Matches,Average,Strike Rate
Virat Kohli,RCB,7263,237,37.25,130.02
RohitSharma,MI,6628,257,29.72,131.14
MS Dhoni,CSK,5243,264,24.96,137.53
David,DC,6565,184,40.52,139.89
KL,LSG,4683,132,45.47,134.6
